Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.61,symmetric,0.2569901236881508
75% Corpus,8,0.9099999999999999,0.01,0.2806025785523184
75% Corpus,8,0.9099999999999999,0.31,0.2929265498369749
75% Corpus,8,0.9099999999999999,0.61,0.3296818313934856
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3788388251818857
75% Corpus,8,0.9099999999999999,symmetric,0.2784935624275766
75% Corpus,8,symmetric,0.01,0.28056185601423733
75% Corpus,8,symmetric,0.31,0.2646643213299039
75% Corpus,8,symmetric,0.61,0.32854676880164674
75% Corpus,8,symmetric,0.9099999999999999,0.3522029226258627
75% Corpus,8,symmetric,symmetric,0.26618017739231037
75% Corpus,8,asymmetric,0.01,0.2812168916867591
75% Corpus,8,asymmetric,0.31,0.2919894098104203
75% Corpus,8,asymmetric,0.61,0.3340559084639972
75% Corpus,8,asymmetric,0.9099999999999999,0.373347649341479
75% Corpus,8,asymmetric,symmetric,0.2656835161985839
75% Corpus,9,0.01,0.01,0.26575822475300215
75% Corpus,9,0.01,0.31,0.2780600849449352
75% Corpus,9,0.01,0.61,0.28743428178856667
75% Corpus,9,0.01,0.9099999999999999,0.36854600686018535
75% Corpus,9,0.01,symmetric,0.27534296114037254
75% Corpus,9,0.31,0.01,0.26808572966301536
75% Corpus,9,0.31,0.31,0.2779601220411176
75% Corpus,9,0.31,0.61,0.28857677219590033
75% Corpus,9,0.31,0.9099999999999999,0.35581922960753337
75% Corpus,9,0.31,symmetric,0.27499169966933595
75% Corpus,9,0.61,0.01,0.2683359012278563
75% Corpus,9,0.61,0.31,0.27356605037769605
75% Corpus,9,0.61,0.61,0.29289268139855146
75% Corpus,9,0.61,0.9099999999999999,0.3522790396216916
75% Corpus,9,0.61,symmetric,0.27572555385871295
75% Corpus,9,0.9099999999999999,0.01,0.2667835875070183
75% Corpus,9,0.9099999999999999,0.31,0.2966317389520253
75% Corpus,9,0.9099999999999999,0.61,0.30015715162535644
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.3640217014497355
75% Corpus,9,0.9099999999999999,symmetric,0.27572555385871295
75% Corpus,9,symmetric,0.01,0.26575822475300215
75% Corpus,9,symmetric,0.31,0.2786711113278775
75% Corpus,9,symmetric,0.61,0.29048894734535424
75% Corpus,9,symmetric,0.9099999999999999,0.36246286310987624
75% Corpus,9,symmetric,symmetric,0.27534296114037254
75% Corpus,9,asymmetric,0.01,0.2681623135708973
75% Corpus,9,asymmetric,0.31,0.27789812461902985
75% Corpus,9,asymmetric,0.61,0.3003142085607441
75% Corpus,9,asymmetric,0.9099999999999999,0.4050127391758748
75% Corpus,9,asymmetric,symmetric,0.27787419602966507
75% Corpus,10,0.01,0.01,0.25939909626288127
75% Corpus,10,0.01,0.31,0.3105586587206659
75% Corpus,10,0.01,0.61,0.33882009669869156
75% Corpus,10,0.01,0.9099999999999999,0.28209821419723147
75% Corpus,10,0.01,symmetric,0.2939983576786148
75% Corpus,10,0.31,0.01,0.2601581374651699
75% Corpus,10,0.31,0.31,0.31325863293575684
75% Corpus,10,0.31,0.61,0.28503904966170124
75% Corpus,10,0.31,0.9099999999999999,0.2839214100301429
75% Corpus,10,0.31,symmetric,0.29213353533279357
75% Corpus,10,0.61,0.01,0.2615543295085527
75% Corpus,10,0.61,0.31,0.31123261378486167
75% Corpus,10,0.61,0.61,0.2777481437798016
75% Corpus,10,0.61,0.9099999999999999,0.28267643351489513
75% Corpus,10,0.61,symmetric,0.2903799455112766
75% Corpus,10,0.9099999999999999,0.01,0.26120731787418205
75% Corpus,10,0.9099999999999999,0.31,0.31272276137022315
75% Corpus,10,0.9099999999999999,0.61,0.3391890454080876
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.2861966576209012
75% Corpus,10,0.9099999999999999,symmetric,0.2916739138835883
75% Corpus,10,symmetric,0.01,0.26117926654538187
75% Corpus,10,symmetric,0.31,0.30998254977861184
75% Corpus,10,symmetric,0.61,0.3409699811174573
75% Corpus,10,symmetric,0.9099999999999999,0.2839214100301429
75% Corpus,10,symmetric,symmetric,0.29244481931714156
75% Corpus,10,asymmetric,0.01,0.25870057653722867
75% Corpus,10,asymmetric,0.31,0.3147632074216963
75% Corpus,10,asymmetric,0.61,0.27754532542698157
75% Corpus,10,asymmetric,0.9099999999999999,0.2879481829974102
75% Corpus,10,asymmetric,symmetric,0.2956126439883111
100% Corpus,2,0.01,0.01,0.30887317428812033
100% Corpus,2,0.01,0.31,0.31054950397808545
100% Corpus,2,0.01,0.61,0.31054950397808545
100% Corpus,2,0.01,0.9099999999999999,0.31204588209557005
100% Corpus,2,0.01,symmetric,0.3105495039780855
100% Corpus,2,0.31,0.01,0.3105495039780855
100% Corpus,2,0.31,0.31,0.31054950397808545
100% Corpus,2,0.31,0.61,0.31054950397808545
100% Corpus,2,0.31,0.9099999999999999,0.31204588209557005
100% Corpus,2,0.31,symmetric,0.3105495039780855
100% Corpus,2,0.61,0.01,0.3105495039780855
